	tconst	directors	producers	writers
3276	tt0436992	nm0363865,nm0528186,nm3833743,nm0533559,nm0003080,nm1326093,nm1266701,nm0369949,nm0013878,nm1595284,nm0403541,nm0582792,nm0531751,nm0164407,nm0801065,nm0626706,nm0063279,nm3741255,nm0090141,nm0853535,nm2553744,nm0932882,nm2334918,nm3408764,nm1172261,nm1288455,nm1488618,nm0132600,nm1215179,nm0607701,nm0915416,nm1879225,nm0003881,nm2007278,nm0668350,nm0941189,nm1973873,nm1296554,nm1098790,nm1637821,nm0006624,nm0032495,nm1360508,nm0867127,nm5668015,nm2827467,nm0335283,nm0954204,nm0323758,nm0387486,nm1587079,nm0003929,nm2691857,nm1788073,nm1142073,nm0284308,nm1723981,nm6468760		nm0595590,nm0628285,nm1163823,nm0203961,nm0622334,nm0204651,nm0670035,nm0392025,nm0925980,nm0309693,nm0731111,nm1649393,nm0401392,nm1739929,nm2471028,nm0180280,nm0334213,nm1625174,nm1114104,nm1839162,nm0301274,nm0829775,nm0048276,nm0552144,nm0428795,nm0285828,nm0371318,nm0189232,nm0101639,nm2183823,nm3791225,nm3226773,nm3481180,nm2530111,nm1633161,nm1231249,nm0854699,nm0193485,nm0638586,nm0871734,nm5411362,nm0613163,nm0085761,nm2835507,nm2300065,nm7720589,nm5106646,nm6651206,nm0686886
3277	tt0439879	nm0561879,nm0674139,nm0545763,nm0591171,nm0683525,nm0197700,nm2036635,nm0437802,nm0067090,nm0339245,nm0777209,nm0353265,nm0416856,nm0003080		nm0683522,nm1656346,nm0370325,nm1444455,nm0202997,nm0410516,nm1180080,nm1142664,nm0009017,nm0569214,nm0683525,nm0317449,nm1586791
3278	tt0796264	nm0225416,nm0737517,nm0733227,nm0368602,nm0004627,nm0272399,nm0608012,nm0343687,nm0506461,nm0941276,nm0485637,nm1084723,nm0190597,nm0724757,nm0118778,nm0333239,nm0640964,nm0833191,nm0215123,nm0509409,nm0001513,nm0002749,nm0066584,nm0314104,nm0389972,nm0779641,nm0818465,nm0027413,nm0224683,nm0372138,nm0591171,nm0839660,nm0782890,nm1958727		nm1184676,nm1958727,nm0588005,nm0820692,nm0908630,nm2118749,nm2374583,nm0185805,nm0073693,nm0875740,nm0400957,nm0586922,nm0275234,nm0896107,nm2575780,nm1328493,nm0769633,nm1431798,nm0089369,nm2735025,nm0088200,nm2352026,nm0736966,nm0919098,nm1093194,nm0260870,nm1004587,nm0915316,nm0121154,nm0919043,nm1379821,nm1936920
3279	tt0830900	nm0616254,nm0006853,nm0791381,nm0541703,nm0444709,nm0110644,nm0272704,nm0709592,nm0362738,nm0773180,nm0135529,nm0394586,nm0203215,nm0924693,nm0590790,nm0572951,nm1204568		nm0589043,nm0411469,nm1241675,nm1341252,nm1500876,nm0234859,nm1294424,nm0864834,nm1618266,nm0307106,nm0960450,nm0205525,nm0908121,nm0057395,nm0523299,nm3795356,nm2436288,nm2656711
3280	tt11612120	nm6095359,nm4624887,nm12331065		nm11274902,nm12036707,nm11274903,nm11274901,nm12036708
3281	tt1213218	nm0427551,nm2304017,nm0324713,nm0970607,nm1541845		nm0004170,nm0017447,nm2591926,nm0218204,nm1439564,nm0474212,nm3542504,nm0227704,nm0471172,nm4846365,nm1147759,nm4643584,nm5132606,nm0176689,nm0066313,nm0918852,nm0316043,nm0700133,nm0456158,nm1319586,nm1189346,nm0795975,nm0796950,nm2398585,nm1914953,nm0341297,nm1303925,nm3782862,nm0938379,nm0108845,nm4566640,nm1318187,nm1318885,nm0427551,nm4565159,nm0075487,nm0236279,nm0886759,nm3775094,nm0236854,nm6225076,nm0424315,nm1321652,nm3318357,nm0703315,nm2294487,nm0060872,nm0122334,nm2463003,nm0277730,nm3667952,nm0317493,nm0394447,nm0476069,nm1523872,nm0551376,nm0584242,nm6099014,nm4566501,nm3108070,nm1320013,nm2954970,nm1131680,nm0888333,nm0940071,nm9153705,nm1399631,nm0093366,nm1570426,nm4743983,nm4633226,nm4240811,nm1752035,nm0834669
3282	tt12878838	nm0780825,nm1234893,nm1312731,nm1525794,nm0178944,nm5147417,nm2610382,nm0810103,nm0827661		nm0097273,nm0097275,nm2027168,nm5147417,nm7667239,nm0575656,nm2024486,nm0689385,nm1173259,nm2331742,nm5879534,nm2015620,nm1393076,nm3729780,nm6303285,nm0493086,nm2384772
3283	tt12979628	nm6919284,nm5514626		nm1906100
3284	tt13259878	nm4800248,nm0128452,nm0428448		nm2029171,nm0913732,nm3015077,nm1769728,nm1283009,nm0301749
3285	tt13288904	nm2244239		nm1640789,nm1256259
